,outputs_0,outputs_1,outputs_2,outputs_3,outputs_4,outputs_5,final_output
331,Rxh6#,Rxh6#,Rxh6#,Rxh6#,Rxh6#,Rxh6#,Rxh6#
332,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
333,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
334,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
335,garbage,garbage,garbage,garbage,garbage,garbage,garbage
336,Qh8#,garbage,garbage,garbage,Qh8#,garbage,Qh8#
337,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
338,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
339,garbage,Qh5#,Qh5#,Qh5#,garbage,garbage,Qh5#
340,Rag2#,Rag2#,Rag2#,Rag2#,Rag2#,Rag2#,Rag2#
341,Qh1#,Qh1#,Qh1#,Qh7#,Qh1#,Qh1#,Qh1#
342,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
343,Rc1#,garbage,garbage,garbage,Qxc3#,Qxc3#,Rc1#
344,Rh1#,Bf6#,Bf6#,garbage,garbage,Bf6#,Rh1#
345,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
346,garbage,garbage,garbage,garbage,garbage,garbage,garbage
347,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
348,garbage,garbage,garbage,garbage,garbage,garbage,garbage
349,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
350,garbage,garbage,garbage,garbage,garbage,Qc5#,Qc5#
351,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
352,garbage,garbage,garbage,garbage,garbage,garbage,garbage
353,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#
354,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
355,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
356,Rh3#,Rh3#,garbage,Rh3#,garbage,Rh3#,Rh3#
357,garbage,garbage,Qg2#,garbage,Qg2#,Qg2#,Qg2#
358,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
359,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
360,garbage,garbage,garbage,garbage,garbage,garbage,garbage
361,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
362,garbage,garbage,garbage,garbage,Qxh5#,garbage,Qxh5#
363,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#
364,Rf4#,Rf4#,garbage,garbage,Rf4#,Rf4#,Rf4#
365,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
366,garbage,garbage,Qc1#,Rc1#,garbage,Qc1#,Qc1#
367,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
368,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#
369,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
370,garbage,Qxg7#,garbage,garbage,garbage,garbage,Qxg7#
371,Qxd1#,Qxd1#,Qxd1#,Qxd1#,Qxd1#,Qxd1#,Qxd1#
372,garbage,Bxf2#,Bxf2#,Qxf2#,Qxf2#,Qxf2#,Bxf2#
373,Rxh7#,Rxh7#,Rxh7#,Nf7#,Nf7#,Nf7#,Rxh7#
374,garbage,garbage,garbage,garbage,garbage,garbage,garbage
375,Rc1#,Rc1#,garbage,Rc1#,Rc1#,Rc1#,Rc1#
376,garbage,garbage,garbage,garbage,garbage,garbage,garbage
377,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
378,garbage,garbage,garbage,garbage,garbage,garbage,garbage
379,Rxd8#,Rxd8#,Rxd8#,Rxd8#,garbage,Rxd8#,Rxd8#
380,Qxe2#,Qxe2#,Qxe2#,Qxe2#,Qxe2#,Qxe2#,Qxe2#
381,Qa7#,Qa7#,Qa7#,Ra2#,Qa7#,Qa7#,Qa7#
382,garbage,garbage,garbage,garbage,garbage,garbage,garbage
383,garbage,garbage,garbage,garbage,garbage,garbage,garbage
384,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
385,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#
386,Rh3#,g4#,Rh3#,g4#,Rh3#,g4#,Rh3#
387,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
388,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
389,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#
390,Qh1#,garbage,garbage,garbage,Qh2#,Qh2#,Qh1#
391,garbage,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
392,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
393,Bf7#,garbage,Bf7#,garbage,Bf7#,garbage,Bf7#
394,garbage,Qe5#,Qe5#,garbage,Qe5#,garbage,Qe5#
395,Qxf2#,Qxf2#,Qxf2#,Qxf2#,garbage,Qxf2#,Qxf2#
396,Rb2#,Rb2#,garbage,garbage,garbage,Rb2#,Rb2#
397,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#
398,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
399,Qf6#,Qxe4#,Qxe4#,Qxe4#,Qf6#,Qxe4#,Qf6#
400,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#
401,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
402,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
403,garbage,garbage,garbage,garbage,garbage,Rh5#,Rh5#
404,garbage,garbage,garbage,garbage,garbage,garbage,garbage
405,garbage,garbage,garbage,garbage,garbage,garbage,garbage
406,Qd5#,Qf3#,garbage,Qe4#,Qd5#,Qe4#,Qd5#
407,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,garbage,Qd7#
408,Qg3#,Qg3#,Qe1#,Qg3#,garbage,Qg3#,Qg3#
409,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
410,garbage,Rc8#,Rc8#,Rc8#,garbage,Rc8#,Rc8#
411,Rxb7#,Rxb7#,Rxb7#,garbage,Rxb7#,Rxb7#,Rxb7#
412,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#,Rxe1#
413,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#,Qxc7#
414,garbage,garbage,garbage,garbage,garbage,garbage,garbage
415,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
416,garbage,garbage,Re1#,garbage,garbage,Re1#,Re1#
417,Qf7#,Qe7#,Qe7#,Qe7#,Qe7#,Qf7#,Qf7#
418,garbage,garbage,garbage,garbage,garbage,garbage,garbage
419,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#,Qxf1#
420,garbage,garbage,garbage,garbage,garbage,Qf1#,Qf1#
421,Qb8#,Qb8#,Qb8#,Qb8#,Qb8#,Qb8#,Qb8#
422,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#
423,garbage,Qg7#,Qg7#,garbage,garbage,garbage,Qg7#
424,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
425,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
426,garbage,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
427,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
428,Re7#,Re7#,garbage,Bh6#,garbage,Re7#,Re7#
429,Qf2#,garbage,garbage,garbage,Qf2#,garbage,Qf2#
430,garbage,garbage,garbage,garbage,garbage,garbage,garbage
431,Qc2#,Qc2#,Qc2#,Qc2#,Qc2#,Qc2#,Qc2#
432,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
433,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#
434,Rc8#,garbage,garbage,Rc8#,garbage,Rc8#,Rc8#
435,garbage,garbage,garbage,garbage,Rc8#,Rc8#,Rc8#
436,Qxd7#,Qxd7#,Qxd7#,Qxd7#,Qxd7#,Qxd7#,Qxd7#
437,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#
438,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#
439,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
440,Rh1#,Qh6#,Rh1#,Rh1#,garbage,garbage,Rh1#
441,Qa8#,Qa8#,Qa8#,garbage,garbage,Qa8#,Qa8#
442,garbage,garbage,garbage,garbage,garbage,garbage,garbage
443,garbage,garbage,garbage,garbage,garbage,garbage,garbage
444,garbage,garbage,garbage,garbage,garbage,garbage,garbage
445,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#
446,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
447,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#
448,garbage,Rh1#,garbage,garbage,Rh1#,garbage,Rh1#
449,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
450,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
451,garbage,garbage,garbage,garbage,garbage,garbage,garbage
452,garbage,garbage,garbage,garbage,garbage,garbage,garbage
453,Rh3#,garbage,garbage,garbage,garbage,garbage,Rh3#
454,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#,Qg1#
455,garbage,garbage,garbage,garbage,garbage,garbage,garbage
456,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
457,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#
458,garbage,garbage,garbage,garbage,garbage,garbage,garbage
459,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
460,Rxa2#,garbage,Rxa2#,garbage,garbage,garbage,Rxa2#
461,Qh3#,Qh3#,garbage,Qh3#,garbage,Qh3#,Qh3#
462,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#
463,garbage,garbage,garbage,garbage,garbage,garbage,garbage
464,Ra5#,Ra5#,Ra5#,garbage,garbage,Ra5#,Ra5#
465,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
466,Qg7#,garbage,Qg7#,garbage,garbage,garbage,Qg7#
467,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#
468,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
469,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
470,Rbf2#,Rbf2#,Rbf2#,Rbf2#,Rbf2#,Rbf2#,Rbf2#
471,garbage,garbage,garbage,garbage,garbage,garbage,garbage
472,garbage,garbage,garbage,garbage,garbage,garbage,garbage
473,Rg5#,garbage,Rg5#,garbage,garbage,garbage,Rg5#
474,Rf5#,garbage,Be2#,Be2#,Be2#,garbage,Rf5#
475,Qg6#,Qg6#,Qg5#,Qg6#,Qg6#,Qg6#,Qg6#
476,garbage,garbage,garbage,garbage,garbage,garbage,garbage
477,garbage,garbage,garbage,garbage,garbage,garbage,garbage
478,Qee1#,Qee1#,Qd7#,Qd8#,Qd7#,Qee1#,Qee1#
479,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
480,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
481,Rg6#,Rg6#,Qh7#,Qh7#,garbage,Qh7#,Rg6#
482,garbage,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#
483,garbage,garbage,garbage,Qxg2#,garbage,Qxg2#,Qxg2#
484,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,garbage,Qg2#
485,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#
486,Qxg7#,Qxg7#,Qxg7#,garbage,garbage,Qxg7#,Qxg7#
487,garbage,Rf1#,garbage,Rf1#,garbage,garbage,Rf1#
488,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#
489,Qxb4#,Qxb4#,Qxb4#,Qxb4#,Qxb4#,Qxb4#,Qxb4#
490,Qxb8#,Qxb8#,Qxb8#,Qxb8#,Qxb8#,Qxb8#,Qxb8#
491,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
492,Qg7#,Qg7#,Qg7#,garbage,garbage,Qg7#,Qg7#
493,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
494,Rh8#,Rh8#,Rh8#,Qg2#,Rh8#,garbage,Rh8#
495,Qcc1#,Qcc1#,Qcc1#,Qcc1#,Qcc1#,Qcc1#,Qcc1#
496,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,garbage,Qh2#
497,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
498,garbage,Qe7#,garbage,garbage,garbage,garbage,Qe7#
499,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#,Qd7#
500,garbage,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#,Qe2#
501,Qe8#,Qd8#,Qe8#,Qe8#,Qe8#,Qd8#,Qe8#
502,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
503,garbage,garbage,garbage,garbage,garbage,garbage,garbage
504,Qh6#,Qh6#,Qh6#,Rh5#,Rh5#,Rh5#,Qh6#
505,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#
506,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#
507,garbage,garbage,garbage,garbage,garbage,garbage,garbage
508,garbage,garbage,garbage,garbage,garbage,garbage,garbage
509,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
510,garbage,garbage,garbage,garbage,garbage,garbage,garbage
511,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#
512,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
513,garbage,garbage,Rh5#,Rh5#,garbage,garbage,Rh5#
514,Qc7#,Qc7#,Qc7#,Qc7#,Qc7#,garbage,Qc7#
515,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
516,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
517,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
518,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
519,garbage,garbage,garbage,garbage,garbage,garbage,garbage
520,garbage,garbage,garbage,garbage,garbage,garbage,garbage
521,garbage,Qxd8#,garbage,garbage,garbage,garbage,Qxd8#
522,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#
523,garbage,garbage,garbage,garbage,garbage,garbage,garbage
524,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#,Qb4#
525,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
526,Qd5#,garbage,Qd5#,Qd5#,garbage,garbage,Qd5#
527,Qd7#,Qd7#,garbage,Qd7#,Qd7#,Qd7#,Qd7#
528,garbage,garbage,garbage,garbage,garbage,garbage,garbage
529,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#
530,Qg6#,Qg6#,Qg6#,Qg6#,Qg6#,Qg6#,Qg6#
531,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
532,garbage,Rxe1#,Rxe1#,garbage,garbage,Rxe1#,Rxe1#
533,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
534,Qxf8#,garbage,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#
535,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
536,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
537,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#,Qe7#
538,garbage,garbage,Qxh7#,garbage,garbage,garbage,Qxh7#
539,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
540,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#
541,Qg2#,Qg2#,garbage,Qg2#,Qg2#,Qg2#,Qg2#
542,Qg4#,Qg4#,Qg4#,Qg4#,Qg4#,Qg4#,Qg4#
543,garbage,garbage,garbage,garbage,garbage,garbage,garbage
544,garbage,Qh2#,Qh2#,Qh2#,garbage,Qh2#,Qh2#
545,Ra8#,Qc7#,Ra8#,Qxb7#,Ra8#,Ra8#,Ra8#
546,garbage,garbage,garbage,garbage,Rxe8#,garbage,Rxe8#
547,Nxf6#,Nxf6#,Nxf6#,Nxf6#,Nxf6#,Nxf6#,Nxf6#
548,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
549,garbage,garbage,Qh7#,Qh7#,garbage,garbage,Qh7#
550,garbage,garbage,garbage,garbage,garbage,garbage,garbage
551,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
552,Rxh3#,garbage,Rxh3#,Rxh3#,garbage,Rxh3#,Rxh3#
553,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
554,Ne7#,Ne7#,Ne7#,Ne7#,Ne7#,Ne7#,Ne7#
555,Qc7#,Qc7#,Qc7#,Qc7#,Qc7#,Qc7#,Qc7#
556,garbage,garbage,garbage,Qh7#,garbage,Qh7#,Qh7#
557,garbage,garbage,garbage,garbage,garbage,garbage,garbage
558,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qxg8#
559,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
560,Re8#,Rec7#,Re8#,Re8#,garbage,Re8#,Re8#
561,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#
562,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#
563,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
564,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
565,e5#,garbage,garbage,e5#,e5#,e5#,e5#
566,Qd1#,Qd1#,Qd1#,Qd1#,Qh1#,Qd1#,Qd1#
567,garbage,Rc2#,Rc2#,garbage,garbage,Qa1#,Rc2#
568,Re8#,Re8#,Qg7#,Re8#,Re8#,Re8#,Re8#
569,garbage,garbage,garbage,garbage,garbage,garbage,garbage
570,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#,Qh3#
571,garbage,garbage,garbage,garbage,Qg2#,garbage,Qg2#
572,garbage,garbage,garbage,garbage,garbage,garbage,garbage
573,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
574,Qc7#,Qc7#,Qc7#,Qc7#,garbage,Qc7#,Qc7#
575,Rf5#,garbage,Rf4#,Rf5#,garbage,garbage,Rf5#
576,garbage,garbage,garbage,garbage,garbage,garbage,garbage
577,Rc1#,Rc1#,garbage,garbage,garbage,garbage,Rc1#
578,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
579,Re1#,Re1#,garbage,Re1#,garbage,garbage,Re1#
580,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
581,Rc8#,garbage,garbage,garbage,garbage,Rc8#,Rc8#
582,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
583,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#
584,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
585,garbage,garbage,garbage,garbage,garbage,garbage,garbage
586,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
587,garbage,garbage,Qh1#,garbage,garbage,Qh1#,Qh1#
588,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#,Nf3#
589,Qxa3#,Qxa3#,Qxa3#,Qxa3#,Qxa3#,Qxa3#,Qxa3#
590,Re1#,Re1#,Re1#,garbage,Re1#,Re1#,Re1#
591,Qxh7#,garbage,garbage,Qxh7#,garbage,Qxh7#,Qxh7#
592,Qxg7#,garbage,Qxg7#,garbage,Qxg7#,garbage,Qxg7#
593,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
594,Nd5#,Nd5#,Nd5#,Nd5#,Nd5#,Nd5#,Nd5#
595,Qa5#,Ra8#,Qa5#,Ra8#,Qa1#,Qa1#,Qa5#
596,garbage,garbage,garbage,Qxd1#,garbage,Qxd1#,Qxd1#
597,garbage,garbage,garbage,garbage,garbage,garbage,garbage
598,garbage,garbage,garbage,garbage,garbage,garbage,garbage
599,garbage,garbage,garbage,garbage,garbage,garbage,garbage
600,Qe7#,garbage,garbage,garbage,Qe7#,garbage,Qe7#
601,Ra7#,Qa7#,Qb7#,Qa7#,Qa7#,Ra7#,Ra7#
602,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#,garbage,Qxh6#
603,Qc3#,Qc3#,Qc3#,Qc3#,Qc3#,Qc3#,Qc3#
604,d4#,g3#,d4#,g3#,d4#,g3#,d4#
605,Rc2#,Rc2#,garbage,garbage,garbage,garbage,Rc2#
606,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
607,Qd8#,Qc8#,Qc8#,Qd8#,Qd8#,Qd8#,Qd8#
608,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
609,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#
610,Qc3#,Qb2#,Qc3#,Qc3#,Qc3#,Qc3#,Qc3#
611,Qg6#,garbage,garbage,Qg6#,Qg6#,garbage,Qg6#
612,Qxh7#,Qxh7#,Qxh7#,Qxh7#,garbage,Qxh7#,Qxh7#
613,garbage,garbage,garbage,garbage,garbage,garbage,garbage
614,Qxb7#,garbage,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#
615,garbage,Qd2#,garbage,garbage,garbage,Qd2#,Qd2#
616,garbage,Qxa7#,Qxa7#,Qxa7#,Qxa7#,b3#,Qxa7#
617,garbage,garbage,garbage,garbage,garbage,garbage,garbage
618,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
619,Rg1#,garbage,Rg1#,Rg1#,Rg1#,Rg1#,Rg1#
620,garbage,garbage,garbage,garbage,garbage,garbage,garbage
621,Rxb8#,Rxb8#,Rxb8#,Rxb8#,Rxb8#,Rxb8#,Rxb8#
622,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
623,Qxf2#,Qxf2#,Qxf2#,garbage,Qxf2#,Qxf2#,Qxf2#
624,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#
625,Rf5#,Rf5#,Rf5#,Rf5#,Rf5#,Rf5#,Rf5#
626,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
627,garbage,garbage,Rb5#,garbage,Qa2#,garbage,Rb5#
628,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
629,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
630,Qxh7#,garbage,Qxh7#,garbage,garbage,garbage,Qxh7#
631,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
632,garbage,garbage,garbage,garbage,garbage,garbage,garbage
633,Qh7#,Qxg8#,Qxg8#,Qxg8#,Qxg8#,Qh7#,Qh7#
634,garbage,garbage,garbage,garbage,garbage,garbage,garbage
635,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
636,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
637,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
638,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#
639,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#
640,Qxf8#,Qc7#,Qc7#,Qc7#,Qxf8#,Qc7#,Qxf8#
641,Qg7#,garbage,garbage,Qg7#,garbage,garbage,Qg7#
642,garbage,garbage,garbage,Qh7#,garbage,garbage,Qh7#
643,garbage,garbage,Qxc1#,garbage,garbage,garbage,Qxc1#
644,Rc7#,Rc7#,garbage,garbage,garbage,garbage,Rc7#
645,Qe1#,garbage,garbage,Qe1#,garbage,garbage,Qe1#
646,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
647,garbage,garbage,garbage,g2#,Bg2#,garbage,g2#
648,garbage,garbage,garbage,garbage,garbage,garbage,garbage
649,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#,Rh3#
650,Nf6#,Nf6#,garbage,Nf6#,garbage,garbage,Nf6#
651,garbage,Qxh6#,garbage,Qxh6#,Qxh6#,garbage,Qxh6#
652,garbage,garbage,garbage,garbage,garbage,garbage,garbage
653,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
654,garbage,garbage,Qb1#,garbage,garbage,garbage,Qb1#
655,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#
656,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
657,Re7#,Re7#,garbage,Re7#,Re7#,garbage,Re7#
658,garbage,garbage,garbage,garbage,garbage,garbage,garbage
659,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
660,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
661,Qxc2#,Qxc2#,Qxc2#,Qxc2#,garbage,garbage,Qxc2#
662,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#
663,Rb6#,Rb6#,Rb6#,Rb6#,Rb6#,Rb6#,Rb6#
664,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
665,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#
666,garbage,garbage,Qh8#,garbage,Qh8#,Qh8#,Qh8#
667,Qa8#,Qaa8#,Qaa8#,Qa8#,Qa8#,Qaa8#,Qa8#
668,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#
